FORMA,TIPO,SUBTIPO,SIGNIFICADO,DERIVADOS
##ísim,sufijo derivativo,adjetivo a adjetivo,Calificativo.  / ‘Que tiene lo que indica el adjetivo en grado extremo’.  / Forma de tratamiento para quienes tienen determinados títulos o dignidades,
##ista,sufijo derivativo,verbo a nombre/ nombre a nombre/ nombre a adjetivo/ adjetivo a adjetivo,Nombre de personas que pertenece a un movimiento / tendencia / doctrina o posee un interés por lo señalado en la base)/ Nombre de personas que pertenece a o son partidarias de un movimiento / tendencia / doctrina o posee un interés por lo señalado en la base (generalmente / con sufijo –ismo)  / persona que toca un instrumento / profesión u oficio / persona que conduce un vehículo / persona que trabaja con el utensilio o materia de la base/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre’/ Relacional.  ‘Relativo o perteneciente a lo que indica el adjetivo’ ,
##iz,sufijo derivativo,nombre a adjetivo/ adjetivo a adjetivo,Relacional.  ‘Relativo o perteneciente a lo que indica el nombre’ / Calificativo. Propensión / disposición / inclinación o tendencia a lo que indica el adjetivo,
##oide,sufijo derivativo,nombre a adjetivo/ adjetivo a adjetivo,Calificativo. Denota semejanza a lo que indica el nombre/ Calificativo. Denota semejanza a lo que indica el adjetivo (a veces en sentido despectivo) ,
##os,sufijo derivativo,verbo a adjetivo/ nombre a adjetivo/ adjetivo a adjetivo,Calificativo / Que suele hacer lo que indica el verbo / Calificativo. ‘Que tiene lo que indica el nombre en abundancia’ / ‘que causa / produce / suscita o hace surgir lo que indica el nombre’ / ‘que tiene forma / tacto / consistencia o aspecto de lo que indica el nombre’ / ‘que tiene tendencia a lo que indica el nombre’ / Calificativo.  Que posee lo que indica el adjetivo. ,
##an,sufijo derivativo,nombre a adjetivo/ adverbio a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘natural de lo que indica el nombre’’ (gentilicio)/ ‘Relativo o perteneciente a lo que indica el adverbio,##ian
##er,sufijo derivativo/sufijo flexivo,adjetivo a nombre/ verbo a nombre/ nombre a nombre/ adverbio a nombre/ nombre a adjetivo/ preposición a adjetivo / verbo a verbo,Nombre de instrumentos o utensilios/ Nombre de oficios / profesiones u ocupaciones/ Nombre de oficios / profesiones u ocupaciones / recipientes / instrumentos o utensilios / prendas / lugares en general / pero también donde se halla alguien o en el que desarrolla su actividad / conjuntos o agrupaciones / árboles y plantas / aquello por lo que se siente afición / tiempo en el que alguien desarrolla su actividad / nombre de contenedores / Relacional.   ‘Relativo o perteneciente a donde indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) Calificativo.  Gusto o afición por lo que indica el nombre (lo que se come / toma u otras  actividades lúdicas o expansivas). / ‘Relativo o perteneciente a lo que indica la preposición,/ ##icer /  ##ader / ##ater / ##oter / ##ar / #ir
##ig,sufijo derivativo,adjetivo a verbo,Hacer o convertir en lo que indica el adjetivo (sentido causativo),##ificar
##ec,sufijo derivativo,adjetivo a verbo/ nombre a verbo,Ponerse o volverse lo que indica el adjetivo (incoativo)/ Surgir el nombre del que procede (sentido incoativo),
##ific,sufijo derivativo,adjetivo a verbo/ nombre a verbo,Hacer o convertir en lo que indica el adjetivo (sentido causativo)/ Hacer o convertir en el nombre del que procede (sentido causativo),##iguar
##iz,sufijo derivativo,adjetivo a verbo/ nombre a verbo,Hacer o convertir en lo que indica el adjetivo (sentido causativo)/ Convertir en el nombre del que procede (sentido causativo) / hacer surgir hacer tener proporcionar o producir el nombre del que procede / ser el nombre del que procede (sentido atributivo),
##uar,sufijo derivativo,nombre a verbo,Establecer o hacer efectivo el nombre del que procede,
##it,sufijo derivativo,adjetivo a verbo/ verbo a verbo,Hacer o convertir en lo que indica el adjetivo (sentido causativo)/ Realizar el verbo del que procede (sentido intensivo),
##ar,sufijo derivativo/sufijo flexivo,verbo a nombre/ nombre a nombre / adjetivo a nombre/ nombre a adjetivo/ adjetivo a verbo/ nombre a verbo/ adverbio a verbo,Nombre de persona (adjetivos sustantivados / significan: ‘el que hace lo que señala la base’) / al que se destina o dirige la acción señalada en la base / nombre de lugar / Nombre de árboles o plantas / terrenos plantados o sembrados /  lugares en los que abunda algo / nombre de conjuntos o agrupaciones / utensilios o instrumentos / Nombre de lugar/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ / Hacer o volver lo expresado por el adjetivo del que procede/ Hacer de lo que indica el nombre del que procede (sentido atributivo) / acción o movimiento que se lleva a cabo con el instrumento que denota el nombre del que procede / causar / crear / producir / hacer / llevar a cabo o hacer efectivo lo que indica el nombre del que procede (sentido causativo) / dar / hacer / tener / proporcionar / transmitir el nombre del que procede / emitir el nombre del que procede/ Poner como indica el adverbio del que procede,##atari/ ##al/ ##al / ##iar / ##er / ##ir
##ear,sufijo derivativo,adjetivo a verbo/ nombre a verbo/ pronombre a verbo/ interjección a verbo,Proceso de surgir un color o mostrarlo alguna cosa / manifestación de un defecto físico o fisiológico (más frecuente) de una cualidad (menos frecuente) / cambio de estado / actuar como o hacer de lo que indice el adjetivo del que procede (frecuentemente el adjetivo es un comportamiento inconveniente o poco ejemplar)/ Actuar como o hacer de el nombre del que procede (frecuentemente / comportamientos inconvenientes o poco ejemplares) / movimientos repetidos con la parte del cuerpo designada por el nombre del que procede / movimientos irregulares / alternos o repetidos en general / movimiento realizado a lo largo de una línea / curso o superficie / acción llevada a cabo con el instrumento designado por el nombre del que procede / acción brusca o violenta dada con un arma o proyectil / fragmentar algo / desprender / emitir / caer o dejar caer el nombre del que procede / hacer / causar / producir o poner de manifiesto la noción que designa el nombre del que procede / ejercer cierta actividad asociada con el nombre del que procede (incluso / lo que se asocia con los estereotipos de el nombre del que procede)/ Tratar a alguien con el pronombre del que procede/ Emitir el sonido propio de la interjección de la que procede,
##ir,sufijo flexivo,verbo a verbo,3º conjugación,##ar/##er
##mente,sufijo derivativo,adjetivo a adverbio,De la manera en que indica el adjetivo del que procede,
a,prefijo,negativo,Negación / privación,an
an,prefijo,negativo,Negación / privación,a
ana,prefijo,espacial,movimiento hacia atrás,
anti,prefijo,Negativo / orientación,oposición,
contra,prefijo,orientación,oposición,
des,prefijo,negativo,Negación / acción contraria,dis / de
dis,prefijo,negativo,Negación / acción contraria,des / de/ des / di
dia,prefijo,espacial,Movimiento o posición a través,
ex,prefijo,Negativo / temporal,privación / más allá / anterioridad,
im,prefijo,negativo,negación / privación / dentro,in / i
i,prefijo,negativo,negación / privación / dentro,in / im
circum,prefijo,espacial,alrededor,circun
circun,prefijo,espacial,Movimiento o posición alrededor,circum
entre,prefijo,Espacial / gradativo,posición intermedia / grado medio,inter
inter,prefijo,espacial,posición intermedia,entre##
in,prefijo,negativo/ espacial,negación / privación / dentro / locativo,im / i
infra,prefijo,espacial,Inferioridad / insuficiencia ,
intra,prefijo,espacial,interioridad,
endo,prefijo,espacial,interioridad,
peri,prefijo,espacial,Movimiento o posición alrededor,
pro,prefijo,Espacial / orientación,en vez de / a favor,
sub,prefijo,Espacial / gradativo,Inferioridad / grado inferior / insuficiencia,so
so,prefijo,espacial,bajo / acción secundaria / inferioridad,sub
super,prefijo,espacial / gradativo,Superioridad / intensidad / exceso,sobre / supra
sobre,prefijo,Espacial / gradativo,Superioridad / exceso,super / supra
supra,prefijo,espacial,superioridad ,super / sobre
trans,prefijo,espacial,posición trasera / Movimiento o posición a través,tras
tras,prefijo,espacial,posición trasera / Movimiento o posición a través,trans
tele,prefijo,espacial,distancia,
vice,prefijo,Espacial / gradativo,en lugar de / inmediatamente inferior a / grado inferior,
ante,prefijo,locativo / temporal,posición delantera / anterioridad,
per,prefijo,temporal,Movimiento o posición a través,
pos,prefijo,espacial/ temporal,posterioridad,post
post,prefijo,espacial/ temporal,posterioridad/ posterioridad en el espacio,pos
pre,prefijo,temporal,anterioridad ,
archi,prefijo,gradativo,intensidad,
extra,prefijo,negativo/ espacial,fuera de/ grado máximo,
exo,prefijo,espacial,exterioridad,
hiper,prefijo,gradativo,grado máximo,
hipo,prefijo,gradativo,por debajo,
re,prefijo,Gradativo / espacial / aspectual,Intensidad / posición trasera / movimiento hacia atrás / reiteración,requete
requete,prefijo,gradativo,grado máximo,re
cuasi,prefijo,gradativo,aproximación,
ultra,prefijo,espacial/ cantidad,más allá/ en alto grado,
retro,prefijo,espacial,posición trasera,
bis,prefijo,cuantitativo ,numeral,bi /biz
biz,prefijo,cuantitativo ,numeral,bis /biz
mini,prefijo,cuantitativo ,pequeño,
mono,prefijo,cuantitativo ,numeral,mon
bi,prefijo,cuantitativo ,numeral,bis /biz/
tri,prefijo,cuantitativo ,numeral,
tetra,prefijo,cuantitativo ,numeral,
cuatri,prefijo,cuantitativo ,numeral,
mon,prefijo,cuantitativo ,numeral,mono
multi,prefijo,cuantitativo ,indefinido,
pluri,prefijo,cuantitativo ,indefinido ,
poli,prefijo,cuantitativo ,indefinido ,
mili,prefijo,cuantitativo ,numeral,
semi,prefijo,Cuantitativo / gradativo,Numeral / grado medio,
medio,prefijo,gradativo,grado medio,
uni,prefijo,cuantitativo ,uno solo,
##e,sufijo derivativo/ sufijo flexivo,verbo a nombre/ verbo a verbo,Acción o efecto del evento expresado en la base / cantidad económica / sonidos de diferente naturaleza / instrumento / medio o recurso / lugar / periodos o tiempo / personas / propiedades / estados y actitudes/ presente subjuntivo primera conjugación,##a / ##o
##ba,sufijo flexivo,verbo a verbo,imperfecto indicativo primera conjugación,##a
##a,sufijo derivativo/ sufijo flexivo,verbo a nombre/ nombre a adjetivo/ verbo a verbo,Acción o efecto del evento expresado en la base / cantidad económica / sonidos de diferente naturaleza / instrumento / medio o recurso / lugar / periodos o tiempo / personas / propiedades / estados y actitudes/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) . -o se usa en adjetivos compuestos / presente subjuntivo segunda/tercera conjugación/ imperfecto indicativo segunda/tercera conjugación,##e / ##o/ ##ba
##ra,sufijo flexivo,verbo a verbo,imperfecto subjuntivo primera conjugación,##se
##se,sufijo flexivo,verbo a verbo,imperfecto subjuntivo segunda/tercera conjugación,##ra
##é,sufijo flexivo,verbo a verbo,pretérito perfecto simple primera persona singular primera conjugación,##í
##í,sufijo derivativo/ sufijo flexivo,nombre a adjetivo/ verbo a verbo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) / Relacional y calificativo. ‘Relativo o perteneciente a lo que indica el nombre’ / semejante a lo que indica el nombre. / pretérito perfecto simple primera persona singular segunda/tercera conjugación,/ ##é
##ste,sufijo flexivo,verbo a verbo,pretérito perfecto simple segunda persona,
##ó,sufijo flexivo,verbo a verbo,pretérito perfecto simple tercera persona,
##ro,sufijo flexivo,verbo a verbo,pretérito perfecto simple tercera persona,
##re,sufijo flexivo,verbo a verbo,futuro simple primera persona / segunda persona plural,##rá
##rá,sufijo flexivo,verbo a verbo,futuro simple tercera persona / segunda persona singular,##rá
##ría,sufijo flexivo,verbo a verbo,condicional simple,
##d,sufijo derivativo/ sufijo flexivo,verbo a nombre/ verbo a verbo,Participio del verbo de la base / alimentos / bebidas y preparaciones culinarias / movimiento o acciones que lo causan / actividad / acción y efecto de los verbos de los cuales derivan / contenidos o informaciones verbales / instrumentos / recursos / personas / lugares / periodo de tiempo / grupo / imperativo,
##r,sufijo flexivo,verbo a verbo,infinitivo,
##ndo,sufijo derivativo/ sufijo flexivo,verbo a nombre/ verbo a verbo,Terminación de gerundio. Designa personas que está en un proceso o tiene una obligación / magnitudes numéricas ,
##do,sufijo flexivo,verbo a verbo,participio,
##s,sufijo flexivo,verbo a verbo/nombre a nombre/adjetivo a adjetivo,segunda persona singular/plural,#es
##es,sufijo flexivo,nombre a nombre/adjetivo a adjetivo,plural,#s
##mos,sufijo flexivo,verbo a verbo,primera persona plural,
##is,sufijo flexivo,verbo a verbo,segunda persona plural,
##n,sufijo flexivo,tercera persona plural,,
